toi,tid,tfopwg_disp,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim
1000.01,50365310,FP,2459229.6300460,0.001657,-0.001657,0,2.1713484,0.0002637,-0.0002637,0,2.0172196,0.3195879,-0.3195879,0
1001.01,88863718,PC,2459987.9488730,0.001916,-0.001916,0,1.9316462,0.0000053,-0.0000053,0,3.1660000,0.6470000,-0.6470000,0
1002.01,124709665,FP,2459224.6878020,0.000625,-0.000625,0,1.8675574,0.0000030,-0.0000030,0,1.4080000,0.1840000,-0.1840000,0
1003.01,106997505,FP,2458493.3957000,0.005350,-0.005350,0,2.7432300,0.0010800,-0.0010800,0,3.1670000,0.6420000,-0.6420000,0
1004.01,238597883,FP,2459987.0472620,0.003748,-0.003748,0,3.5730141,0.0000128,-0.0000128,0,3.3700000,1.0290000,-1.0290000,0
1005.01,169904935,FP,2458492.5552000,0.001060,-0.001060,0,4.5507200,0.0003300,-0.0003300,0,2.5990000,0.2840000,-0.2840000,0
1006.01,156115721,FP,2459229.9845790,0.002159,-0.002159,0,2.5047918,0.0004076,-0.0004076,0,4.3797563,0.1036554,-0.1036554,0
1007.01,65212867,PC,2459247.9306950,0.001300,-0.001300,0,6.9989206,0.0000137,-0.0000137,0,3.9530000,0.4370000,-0.4370000,0
1008.01,440801822,FP,2460258.2361220,0.002805,-0.002805,0,2.0483755,0.0000055,-0.0000055,0,2.7670000,0.8610000,-0.8610000,0
1009.01,107782586,PC,2459229.2309240,0.000389,-0.000389,0,1.9600277,0.0000025,-0.0000025,0,2.0065257,0.0505910,-0.0505910,0
101.01,231663901,KP,2458326.0091170,0.000132,-0.000132,0,1.4303699,0.0000008,-0.0000008,0,1.6165994,0.0192089,-0.0192089,0
1010.01,139853601,FP,2459228.8781010,0.000791,-0.000791,0,0.6808702,0.0000390,-0.0000390,0,2.4634563,0.0557065,-0.0557065,0
